Record_No,PMID,Title,Authors,Citation,First_Author,Journal_or_Book,Publication_Year,Create_Date,PMCID,DOI
1,38266651,Psychological stress-induced microbial metabolite indole-3-acetate disrupts intestinal cell lineage commitment,"Wei W, Liu Y, Hou Y, Cao S, Chen Z, Zhang Y, Cai X, Yan Q, Li Z, Yuan Y, Wang G, Zheng X, Hao H.",Cell Metab. 2024 Mar 5;36(3):466-483.e7. doi: 10.1016/j.cmet.2023.12.026. Epub 2024 Jan 23.,Wei W,Cell Metab,2024,2024-01-24,,10.1016/j.cmet.2023.12.026
2,39163863,Physical exercise mediates cortical synaptic protein lactylation to improve stress resilience,"Yan L, Wang Y, Hu H, Yang D, Wang W, Luo Z, Wang Y, Yang F, So KF, Zhang L.",Cell Metab. 2024 Sep 3;36(9):2104-2117.e4. doi: 10.1016/j.cmet.2024.07.018. Epub 2024 Aug 19.,Yan L,Cell Metab,2024,2024-08-20,,10.1016/j.cmet.2024.07.018
3,30066368,Short-chain fatty acids: microbial metabolites that alleviate stress-induced brain-gut axis alterations,"van de Wouw M, Boehme M, Lyte JM, Wiley N, Strain C, O'Sullivan O, Clarke G, Stanton C, Dinan TG, Cryan JF.",J Physiol. 2018 Oct;596(20):4923-4944. doi: 10.1113/JP276431. Epub 2018 Aug 28.,van de Wouw M,J Physiol,2018,2018-08-02,PMC6187046,10.1113/JP276431
4,36289300,Feed your microbes to deal with stress: a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population,"Berding K, Bastiaanssen TFS, Moloney GM, Boscaini S, Strain CR, Anesi A, Long-Smith C, Mattivi F, Stanton C, Clarke G, Dinan TG, Cryan JF.",Mol Psychiatry. 2023 Feb;28(2):601-610. doi: 10.1038/s41380-022-01817-y. Epub 2022 Oct 27.,Berding K,Mol Psychiatry,2023,2022-10-26,PMC9908549,10.1038/s41380-022-01817-y
5,31705553,"Sex, stress and steroids","Sze Y, Brunton PJ.",Eur J Neurosci. 2020 Jul;52(1):2487-2515. doi: 10.1111/ejn.14615. Epub 2019 Dec 16.,Sze Y,Eur J Neurosci,2020,2019-11-10,,10.1111/ejn.14615
6,29389735,Psychological Stress and Mitochondria: A Conceptual Framework,"Picard M, McEwen BS.",Psychosom Med. 2018 Feb/Mar;80(2):126-140. doi: 10.1097/PSY.0000000000000544.,Picard M,Psychosom Med,2018,2018-02-02,PMC5901651,10.1097/PSY.0000000000000544
7,25295784,Muscle over mind,"Moon HY, van Praag H.",Cell Metab. 2014 Oct 7;20(4):560-2. doi: 10.1016/j.cmet.2014.09.012.,Moon HY,Cell Metab,2014,2014-10-09,PMC6016023,10.1016/j.cmet.2014.09.012
8,29869396,Stress-Induced Depression: Is Social Rank a Predictive Risk Factor?,"Larrieu T, Sandi C.",Bioessays. 2018 Jul;40(7):e1800012. doi: 10.1002/bies.201800012. Epub 2018 Jun 4.,Larrieu T,Bioessays,2018,2018-06-06,,10.1002/bies.201800012
9,34280459,Prenatal stress-induced disruptions in microbial and host tryptophan metabolism and transport,"Galley JD, Chen HJ, Antonson AM, Gur TL.",Behav Brain Res. 2021 Sep 24;414:113471. doi: 10.1016/j.bbr.2021.113471. Epub 2021 Jul 16.,Galley JD,Behav Brain Res,2021,2021-07-19,PMC9528311,10.1016/j.bbr.2021.113471
10,22688187,The microbiome-gut-brain axis during early life regulates the hippocampal serotonergic system in a sex-dependent manner,"Clarke G, Grenham S, Scully P, Fitzgerald P, Moloney RD, Shanahan F, Dinan TG, Cryan JF.",Mol Psychiatry. 2013 Jun;18(6):666-73. doi: 10.1038/mp.2012.77. Epub 2012 Jun 12.,Clarke G,Mol Psychiatry,2013,2012-06-13,,10.1038/mp.2012.77
11,27793217,Exercise and Prebiotics Produce Stress Resistance: Converging Impacts on Stress-Protective and Butyrate-Producing Gut Bacteria,"Mika A, Rumian N, Loughridge AB, Fleshner M.",Int Rev Neurobiol. 2016;131:165-191. doi: 10.1016/bs.irn.2016.08.004. Epub 2016 Sep 23.,Mika A,Int Rev Neurobiol,2016,2016-10-30,,10.1016/bs.irn.2016.08.004
12,34285226,Early-life social experience affects offspring DNA methylation and later life stress phenotype,"Laubach ZM, Greenberg JR, Turner JW, Montgomery TM, Pioon MO, Sawdy MA, Smale L, Cavalcante RG, Padmanabhan KR, Lalancette C, vonHoldt B, Faulk CD, Dolinoy DC, Holekamp KE, Perng W.",Nat Commun. 2021 Jul 20;12(1):4398. doi: 10.1038/s41467-021-24583-x.,Laubach ZM,Nat Commun,2021,2021-07-21,PMC8292380,10.1038/s41467-021-24583-x
13,16979750,"Progestins influence motivation, reward, conditioning, stress, and/or response to drugs of abuse",Frye CA.,Pharmacol Biochem Behav. 2007 Feb;86(2):209-19. doi: 10.1016/j.pbb.2006.07.033. Epub 2006 Sep 18.,Frye CA,Pharmacol Biochem Behav,2007,2006-09-19,PMC3613144,10.1016/j.pbb.2006.07.033
14,34062291,"Stress and the Gut-Brain Axis: Implications for Cancer, Inflammation and Sepsis","Moughnyeh MM, Brawner KM, Kennedy BA, Yeramilli VA, Udayakumar N, Graham JA, Martin CA.",J Surg Res. 2021 Oct;266:336-344. doi: 10.1016/j.jss.2021.02.055. Epub 2021 May 29.,Moughnyeh MM,J Surg Res,2021,2021-06-01,,10.1016/j.jss.2021.02.055
15,32957066,Current methods for stress marker detection in saliva,"Giacomello G, Scholten A, Parr MK.",J Pharm Biomed Anal. 2020 Nov 30;191:113604. doi: 10.1016/j.jpba.2020.113604. Epub 2020 Sep 6.,Giacomello G,J Pharm Biomed Anal,2020,2020-09-21,PMC7474833,10.1016/j.jpba.2020.113604
16,26690895,Stress-related regulation of the kynurenine pathway: Relevance to neuropsychiatric and degenerative disorders,"O'Farrell K, Harkin A.",Neuropharmacology. 2017 Jan;112(Pt B):307-323. doi: 10.1016/j.neuropharm.2015.12.004. Epub 2015 Dec 12.,O'Farrell K,Neuropharmacology,2017,2015-12-23,,10.1016/j.neuropharm.2015.12.004
17,33891645,Questionnaires and salivary cortisol to measure stress and depression in mid-pregnancy,"Vlenterie R, Geuijen PM, van Gelder MMHJ, Roeleveld N.",PLoS One. 2021 Apr 23;16(4):e0250459. doi: 10.1371/journal.pone.0250459. eCollection 2021.,Vlenterie R,PLoS One,2021,2021-04-23,PMC8064545,10.1371/journal.pone.0250459
18,23975043,"Inflammation, heart disease, and depression",Halaris A.,Curr Psychiatry Rep. 2013 Oct;15(10):400. doi: 10.1007/s11920-013-0400-5.,Halaris A,Curr Psychiatry Rep,2013,2013-08-27,,10.1007/s11920-013-0400-5
19,29380303,Gut Microbiota and the Neuroendocrine System,"Farzi A, Fröhlich EE, Holzer P.",Neurotherapeutics. 2018 Jan;15(1):5-22. doi: 10.1007/s13311-017-0600-5.,Farzi A,Neurotherapeutics,2018,2018-01-31,PMC5794709,10.1007/s13311-017-0600-5
20,36368524,"Psychological distress and metabolomic markers: A systematic review of posttraumatic stress disorder, anxiety, and subclinical distress","Zhu Y, Jha SC, Shutta KH, Huang T, Balasubramanian R, Clish CB, Hankinson SE, Kubzansky LD.",Neurosci Biobehav Rev. 2022 Dec;143:104954. doi: 10.1016/j.neubiorev.2022.104954. Epub 2022 Nov 8.,Zhu Y,Neurosci Biobehav Rev,2022,2022-11-11,PMC9729460,10.1016/j.neubiorev.2022.104954
21,19157987,Roles of prostaglandin E receptors in stress responses,"Furuyashiki T, Narumiya S.",Curr Opin Pharmacol. 2009 Feb;9(1):31-8. doi: 10.1016/j.coph.2008.12.010. Epub 2009 Jan 20.,Furuyashiki T,Curr Opin Pharmacol,2009,2009-01-23,,10.1016/j.coph.2008.12.010
22,26299831,[Stress and the kynurenine pathway],"Majláth Z, Vécsei L.",Orv Hetil. 2015 Aug 30;156(35):1402-5. doi: 10.1556/650.2015.30246.,Majláth Z,Orv Hetil,2015,2015-08-25,,10.1556/650.2015.30246
23,34539633,Psychological Stresses in Children Trigger Cytokine- and Kynurenine Metabolite-Mediated Abdominal Pain and Proinflammatory Changes,"Myint K, Jacobs K, Myint AM, Lam SK, Lim YA, Boey CC, Hoe SZ, Guillemin GJ.",Front Immunol. 2021 Sep 1;12:702301. doi: 10.3389/fimmu.2021.702301. eCollection 2021.,Myint K,Front Immunol,2021,2021-09-20,PMC8442661,10.3389/fimmu.2021.702301
24,27254089,Alcohol Effects on Stress Pathways: Impact on Craving and Relapse Risk,"Blaine SK, Milivojevic V, Fox H, Sinha R.",Can J Psychiatry. 2016 Mar;61(3):145-53. doi: 10.1177/0706743716632512. Epub 2016 Feb 9.,Blaine SK,Can J Psychiatry,2016,2016-06-03,PMC4813419,10.1177/0706743716632512
25,38563163,Developmental and adult stress: effects of steroids and neurosteroids,"Gore IR, Gould E.",Stress. 2024 Jan;27(1):2317856. doi: 10.1080/10253890.2024.2317856. Epub 2024 Apr 2.,Gore IR,Stress,2024,2024-04-02,PMC11046567,10.1080/10253890.2024.2317856
26,34032647,Production of Psychoactive Metabolites by Gut Bacteria,"Wiley NC, Cryan JF, Dinan TG, Ross RP, Stanton C.",Mod Trends Psychiatry. 2021;32:74-99. doi: 10.1159/000510419. Epub 2021 May 6.,Wiley NC,Mod Trends Psychiatry,2021,2021-05-25,,10.1159/000510419
27,27830572,Inflammation-Associated Co-morbidity Between Depression and Cardiovascular Disease,Halaris A.,Curr Top Behav Neurosci. 2017;31:45-70. doi: 10.1007/7854_2016_28.,Halaris A,Curr Top Behav Neurosci,2017,2016-11-11,,10.1007/7854_2016_28
28,34695711,How acute physical and psychological stress differentially influence the kynurenine pathway: A randomized cross-over trial,"Herhaus B, Joisten N, Wessels I, Zimmer P, Petrowski K.",Psychoneuroendocrinology. 2021 Dec;134:105433. doi: 10.1016/j.psyneuen.2021.105433. Epub 2021 Sep 25.,Herhaus B,Psychoneuroendocrinology,2021,2021-10-25,,10.1016/j.psyneuen.2021.105433
29,28442354,The influence of stress on neuroinflammation and alterations in brain structure and function in major depressive disorder,"Kim YK, Won E.",Behav Brain Res. 2017 Jun 30;329:6-11. doi: 10.1016/j.bbr.2017.04.020. Epub 2017 Apr 22.,Kim YK,Behav Brain Res,2017,2017-04-27,,10.1016/j.bbr.2017.04.020
