Metabolite_names,Symtoms
(+)-Prostaglandin F2 Alpha,(+)-Prostaglandin F2.alpha
N-Acetylglucosamine 6-sulfate,(6S)GlcNAcb
"10-Hydroxy-2,8-decadiene-4,6-diynoic acid",10-Hydroxymatricaric Acid
10Z-Nonadecenoic acid,10-Nonadecenoate (19:1n9)
11-Ketoetiocholanolone,11-Oxoetiocholanolone
12-HETE,"12s-Hydroxy-5z,8z,10e,14z-Eicosatetraenoic Acid"
12-KETE,12-Oxo-ETE
"17-phenyl-18,19,20-trinor-prostaglandin D2",17-Phenyl Trinor Prostaglandin D2
1-Hexadecanol,Hexadecanol
1-Methylnicotinamide,N1-Methylnicotinamide
20-Hydroxyeicosatetraenoic acid,20-Hydroxyarachidonic Acid
"2-Amino-2-methyl-1,3-propanediol",2-Amino-2-Methyl-1-3-Propanediol
2-Aminoadipic acid,Alpha-Aminoadipic Acid
2-Aminoadipic acid,2-Aminoadipate
2-Aminoadipic acid,Alpha-AAA
2-Aminobutyric acid,2-Aminobutyrate
2-Hydroxy-2-methylbutyric acid,2-Hydroxy-2-Methylbutanoic Acid
2-Hydroxybutyric acid,2-Hydroxy-Butanoic Acid
2-Hydroxybutyric acid,(S)-2-Hydroxybutanoicacid
2-O-Methylascorbic acid,2-O-Methyl-L-Ascorbic Acid
2-Phenylacetamide,Phenylacetamide
3-(3-Hydroxyphenyl)propanoic acid,3-(3-Hydroxyphenyl) Propanoic Acid
"3,4-Dihydroxybenzeneacetic acid","3,4-Dihydroxyphenylacetic Acid"
"3,4-Dihydroxybenzeneacetic acid",DOPAC
"3,4-Dihydroxyphenylacetic acid","3,4-Dihydroxybenzeneacetic Acid"
"3,4-Dihydroxyphenylglycol",Dihydroxyphenylglycol
"3,4-Dimethoxyphenylethylamine","2-(3,4-Dimethoxyphenyl)ethanamine"
3-Aminoisobutanoic acid,3-Aminoisobutyric Acid
3-HAA,3-Hydroxyanthranilic Acid
3-HK,3-Hydroxykynurenine
3-Hydroxybutyric acid,3-Hydroxybutyrate
3-Hydroxybutyric acid,Beta-Hydroxybutyrate
3-Hydroxybutyric acid,Βeta-Hydroxybutyric Acid
3-Hydroxybutyric acid,D(-)-Β-Hydroxy Butyric Acid
3-Hydroxybutyric acid,3-Hydroxybutiric Acid
3-Hydroxykynurenine,DL-3-Hydroxy-Kynurenine
3-Hydroxymethylglutaric acid,3-Hydroxy-3-Methylglutaric Acid
3-Hydroxyphenylacetic acid,M-Hydroxyphenylacetic Acid
3-Methylglutarylcarnitine,3-Methylglutaryl Carnitine
3-Methyl-L-Histidine,3-Methyl-Histidine
3-Nitrotyrosine,Nitrotyrosine
3-Nitrotyrosine,3-Nitro-L-Tyrosine
3-Phenylpropanoic acid,3-Phenylpropionate
3-Phosphoglyceric acid,3-Phosphoglycerate
4-Aminohippuric acid,4-Aminohippurate
4-Hydroxyphenylpyruvic acid,4-Hydroxyphenylpyruvate
4-Hydroxyproline,Hydroxyproline
4-Pyridoxic acid,4-Pyridoxate
4-Trimethylammoniobutanoic acid,Gamma-Butyrobetaine
4-Trimethylammoniobutanoic acid,Deoxycarnitine
5-Aminopentanoic acid,5-Aminovaleric Acid
5-Aminopentanoic acid,5-Aminovalerate
5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,2-Carboxy-4-Decanolide
5-HIAA/5-HT ratio,5-HIAA/5-HT
5-HIAA/5-HT ratio,5-hydroxyindole-3-acetic acid/5-hydroxytryptamine
5-HIAA/5-HT ratio,5-Hydroxyindoleacetic acid/5-HT
5-HIAA/5-HT Ratio,HIAA/5-HT
5-Hydroxyindoleacetic acid,5-Hydroxyindole Acetic Acid
5-Hydroxyindoleacetic acid,5-Hydroxyindole-3-Acetic Acid
5-Hydroxyindoleacetic acid,5-HIAA
5-Hydroxytryptophan,L-5-Hydroxytryptophan
6-Keto-prostaglandin F1α,6-Keto PGF1α
8-Isoprostane,15-F2t-IsoP
AA,Anthranilic acid
Acetic acid,Acetate
Acetoacetic Acid,acetoacetate
Acetylphosphate,Acetyl-Phosphate
Adenosine Diphosphate,ADP
Adenosine monophosphate,Adenosine 5'-Monophosphate
Adenosine monophosphate,Adenosine-5-Monophosphate
Allantoin,S-Allantoin
Allopregnanolone,3α-Hydroxy-5α-Pregnan-20-One
alpha-Ketoisovaleric acid,2-Ketoisovaleric Acid
Alpha-Tocopherol,alpha tocopherol
Alpha-Tocopherol,α-tocopherol
alpha-Tocopherol acetate,Tocopherol acetate
